District,KDG_District,Original Maize Production Value,Perturbation,Factor,New Maize Production Values,Percentage Change,Change
KOPPAL,Koppal,243505.0,-10,AreaUnderCereals_Paddy,227251,-6.675016940103899,-16254.0
VIJAYANAGARA,Vijayanagara,206115.5,-10,AreaUnderCereals_Paddy,191117,-7.276745319978362,-14998.5
BENGALURU,Bengaluru Urban,3376.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,3376,0.0,0.0
BENGALURU(R),Bengaluru Rural,2354.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,2354,0.0,0.0
RAMANAGARA,Ramanagara,12128.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,12052,-0.6266490765171504,-76.0
CHITRADURGA,Chitradurga,4566.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,4563,-0.0657030223390276,-3.0
DAVANAGERE,Davanagere,489505.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,484532,-1.0159242500076608,-4973.0
KOLAR,Kolar,864.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,864,0.0,0.0
CHIKKABALLAPURA,Chikkaballapura,2698.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,2698,0.0,0.0
SHIVAMOGGA,Shivamogga,384974.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,381305,-0.9530513748980451,-3669.0
TUMAKURU,Tumakuru,26042.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,26010,-0.12287842715613241,-32.0
CHIKKAMAGALURU,Chikkamagaluru,110533.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,110162,-0.33564636805297965,-371.0
DAKSHINA KANNADA,Dakshina Kannada,132588.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,132588,0.0,0.0
UDUPI,Udupi,138156.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,138156,0.0,0.0
HASSAN,Hassan,143705.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,142638,-0.7424933022511394,-1067.0
KODAGU,Kodagu,86303.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,86163,-0.16221915808256956,-140.0
MANDYA,Mandya,246543.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,238937,-3.085060212620111,-7606.0
MYSURU,Mysuru,354227.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,346906,-2.066753804763612,-7321.0
CHAMARAJANAGAR,Chamarajanagara,45856.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,45305,-1.2015875785066295,-551.0
BELAGAVI,Belagavi,177552.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,176187,-0.7687888618545553,-1365.0
VIJAYAPURA,Vijayapura,170.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,166,-2.3529411764705883,-4.0
BAGALKOT,Bagalkote,85.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,84,-1.1764705882352942,-1.0
DHARAWAD,Dharwad,33989.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,33707,-0.8296801906499162,-282.0
GADAG,Gadag,7258.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,7152,-1.4604574262882335,-106.0
HAVERI,Haveri,125422.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,125278,-0.11481239336001657,-144.0
UTTARA KANNADA,Uttara Kannada,152981.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,152981,0.0,0.0
BALLARI,Ballari,206115.5,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,200339,-2.802554878211488,-5776.5
BIDAR,Bidar,2036.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,2036,0.0,0.0
KALABURAGI,Kalaburagi,7888.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,7847,-0.5197768762677485,-41.0
YADGIRI,Yadgir,224659.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,216141,-3.7915240431053285,-8518.0
RAICHUR,Raichur,492342.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,481351,-2.232391305230917,-10991.0
KOPPAL,Koppal,243505.0,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,241514,-0.8176423482064022,-1991.0
