District,KDG_District,Original Rice Production,Original Maize Production,Initial Stress,Initial Stability,New Rice Production,New Maize Production,Rice Impact,Maize Impact,Stability,Stress,Perturbation,Factor
UDUPI,Udupi,3623.0,109,0.13334799504629605,0.866652004953704,3688,111,1.7940932928512283,1.834862385321101,0.8661717628327409,0.13382823716725908,20,TotalNPK
HASSAN,Hassan,521.0,333937,0.4892598155189365,0.5107401844810635,543,353877,4.222648752399232,5.971186181824716,0.5159142128972629,0.48408578710273714,20,TotalNPK
KODAGU,Kodagu,45.0,17921,0.23469980381950048,0.7653001961804995,52,22039,15.555555555555555,22.978628424753083,0.771719774534968,0.22828022546503196,20,TotalNPK
MANDYA,Mandya,1021.0,19387,0.25066534885201175,0.7493346511479883,1086,21082,6.366307541625857,8.742972094702637,0.7516696316238347,0.24833036837616526,20,TotalNPK
MYSURU,Mysuru,2170.0,137154,0.014002127965103637,0.9859978720348964,2263,145281,4.285714285714286,5.925456056695393,0.9872299459861256,0.012770054013874444,20,TotalNPK
CHAMARAJANAGAR,Chamarajanagara,8867.0,147886,0.17971747377954864,0.8202825262204514,9240,156416,4.206608774106237,5.767956398847761,0.8210796776997652,0.17892032230023483,20,TotalNPK
BELAGAVI,Belagavi,39530.0,576758,0.7697297976417838,0.23027020235821616,42355,633267,7.146471034657223,9.797696780972261,0.19997583978306221,0.8000241602169378,20,TotalNPK
VIJAYAPURA,Vijayapura,27528.0,226327,0.10144960914529635,0.8985503908547037,28609,238520,3.9269107817494917,5.387337790011797,0.9157316311521891,0.08426836884781085,20,TotalNPK
BAGALKOT,Bagalkote,25444.0,251699,0.09231825374290285,0.9076817462570972,27423,278544,7.77786511554787,10.665517145479322,0.9072949666057523,0.09270503339424772,20,TotalNPK
DHARAWAD,Dharwad,21178.0,90634,0.33422924737945514,0.6657707526205449,22464,98179,6.072339219945226,8.324690513493833,0.6633426872435775,0.3366573127564225,20,TotalNPK
GADAG,Gadag,31332.0,138476,0.20050474004418264,0.7994952599558174,32412,145019,3.4469551895825354,4.725006499321182,0.7925875056589303,0.20741249434106965,20,TotalNPK
HAVERI,Haveri,18309.0,413487,0.38869943131575163,0.6113005686842483,19130,438917,4.484133486263586,6.150132894141775,0.6129989949301812,0.3870010050698188,20,TotalNPK
UTTARA KANNADA,Uttara Kannada,3825.0,24088,0.4411134735619832,0.5588865264380167,3964,25288,3.633986928104575,4.981733643307871,0.5516907407508259,0.4483092592491741,20,TotalNPK
BALLARI,Ballari,22938.5,104045,0.26233855361695374,0.7376614463830462,24520,113879,6.894522309654075,9.451679561728099,0.7478489288642841,0.2521510711357159,20,TotalNPK
BIDAR,Bidar,261.0,2791,0.04613187075236701,0.953868129247633,280,3082,7.2796934865900385,10.426370476531709,0.9538808533800817,0.046119146619918346,20,TotalNPK
KALABURAGI,Kalaburagi,3114.0,14621,0.26444294738868324,0.7355570526113168,3243,15451,4.142581888246628,5.676766295055058,0.7242776138264263,0.2757223861735737,20,TotalNPK
