District,KDG_District,Crop,Original Production,New Production,Impact,Stability,Stress,SI Score,Perturbation,Factor
KOPPAL,Koppal,Groundnut,29982.0,29244,-2.461476886131679,0.8455453874424586,0.15445461255754145,-0.029271445762205583,-10,TotalNPK
VIJAYANAGARA,Vijayanagara,Groundnut,22938.5,22149,-3.441811801120387,0.5738807403111175,0.4261192596888826,-0.02802559954698668,-10,TotalNPK
BENGALURU,Bengaluru Urban,Maize,2879.0,2622,-8.9267106634248,0.9613806313427506,0.038619368657249346,-0.09186330587883411,-10,TotalNPK
BENGALURU(R),Bengaluru Rural,Maize,42583.0,40808,-4.168330084775615,0.9890323202404167,0.010967679759583352,-0.04262701972491592,-10,TotalNPK
RAMANAGARA,Ramanagara,Maize,10450.0,10320,-1.244019138755981,0.9087806507928674,0.09121934920713258,-0.011408394423913075,-10,TotalNPK
CHITRADURGA,Chitradurga,Maize,271975.0,265602,-2.343230076293777,0.7748141424454142,0.22518585755458576,-0.01846570790030961,-10,TotalNPK
DAVANAGERE,Davanagere,Maize,593544.0,578521,-2.5310676209345897,0.04938168416638833,0.9506183158336117,-0.0012729349546065493,-10,TotalNPK
KOLAR,Kolar,Maize,1759.0,1629,-7.390562819783968,0.8463061534201782,0.1536938465798218,-0.06589481735544844,-10,TotalNPK
CHIKKABALLAPURA,Chikkaballapura,Maize,105491.0,100700,-4.54161966423676,0.8559515326955477,0.1440484673044523,-0.04016041742943714,-10,TotalNPK
SHIVAMOGGA,Shivamogga,Maize,226532.0,220436,-2.6910105415570427,0.9883694397790113,0.01163056022098877,-0.027133358189263365,-10,TotalNPK
TUMAKURU,Tumakuru,Maize,66868.0,65262,-2.4017467248908297,0.8741930553692638,0.1258069446307361,-0.021363090297875025,-10,TotalNPK
CHIKKAMAGALURU,Chikkamagaluru,Maize,61353.0,56585,-7.77142112040161,0.6399111056039604,0.36008889439603964,-0.05255446449815052,-10,TotalNPK
DAKSHINA KANNADA,Dakshina Kannada,Maize,0.0,0,,0.7713913923477482,0.22860860765225174,,-10,TotalNPK
UDUPI,Udupi,Maize,109.0,107,-1.834862385321101,0.831607344149775,0.16839265585022503,-0.015397835187583798,-10,TotalNPK
HASSAN,Hassan,Maize,333937.0,323978,-2.9822990564088436,0.3301650794687302,0.6698349205312698,-0.010073301068004052,-10,TotalNPK
KODAGU,Kodagu,Maize,17921.0,15864,-11.478154120863792,0.6781406152664398,0.3218593847335603,-0.08475696052991866,-10,TotalNPK
MANDYA,Mandya,Maize,19387.0,18540,-4.368906999535771,0.7264625330471743,0.2735374669528256,-0.032764299674720096,-10,TotalNPK
MYSURU,Mysuru,Maize,137154.0,133094,-2.960176152354288,1.0,0.0,-0.030242905667140354,-10,TotalNPK
CHAMARAJANAGAR,Chamarajanagara,Maize,147886.0,143625,-2.881273413304843,0.7946364916062802,0.20536350839371978,-0.02337850623477443,-10,TotalNPK
BELAGAVI,Belagavi,Maize,576758.0,548534,-4.893560210694954,0.0,1.0,-0.0,-10,TotalNPK
VIJAYAPURA,Vijayapura,Maize,226327.0,220236,-2.6912387828230835,0.8704973492010007,0.12950265079899928,-0.023886718630415135,-10,TotalNPK
BAGALKOT,Bagalkote,Maize,251699.0,238290,-5.327395023420832,0.9655878409737612,0.0344121590262388,-0.053438139302236586,-10,TotalNPK
DHARAWAD,Dharwad,Maize,90634.0,86865,-4.158483571286713,0.5441579694466552,0.4558420305533449,-0.023314697572540944,-10,TotalNPK
GADAG,Gadag,Maize,138476.0,135208,-2.3599757358675872,0.7652481528063287,0.23475184719367123,-0.018370348707052203,-10,TotalNPK
HAVERI,Haveri,Maize,413487.0,400785,-3.071922454635817,0.4615076527569738,0.5384923472430262,-0.014494631378327115,-10,TotalNPK
UTTARA KANNADA,Uttara Kannada,Maize,24088.0,23488,-2.4908668216539356,0.4491670028475415,0.5508329971524585,-0.011392902339078111,-10,TotalNPK
BALLARI,Ballari,Maize,104045.0,99133,-4.721034167908117,0.6724686108530333,0.3275313891469666,-0.03284016115520515,-10,TotalNPK
BIDAR,Bidar,Maize,2791.0,2645,-5.231099964170548,0.9892890460992136,0.0107109539007864,-0.05373348433588737,-10,TotalNPK
KALABURAGI,Kalaburagi,Maize,14621.0,14205,-2.8452226249914507,0.8618016871484282,0.13819831285157186,-0.02503199786919877,-10,TotalNPK
YADGIRI,Yadgir,Maize,2673.0,2457,-8.080808080808081,0.8274595938520637,0.17254040614793625,-0.0707920502765605,-10,TotalNPK
RAICHUR,Raichur,Maize,723.0,687,-4.979253112033195,0.6491589437904751,0.3508410562095249,-0.03349471255846932,-10,TotalNPK
KOPPAL,Koppal,Maize,190252.0,183824,-3.3786767024788174,0.8455453874424586,0.15445461255754145,-0.029271445762205583,-10,TotalNPK
VIJAYANAGARA,Vijayanagara,Maize,104045.0,99133,-4.721034167908117,0.5738807403111175,0.4261192596888826,-0.02802559954698668,-10,TotalNPK
BENGALURU,Bengaluru Urban,Groundnut,71.0,80,12.676056338028168,0.9612211455606586,0.038778854439341336,0.1492742689640747,20,TotalNPK
BENGALURU(R),Bengaluru Rural,Groundnut,206.0,218,5.825242718446602,0.9867310453006398,0.01326895469936021,0.07744672313006105,20,TotalNPK
RAMANAGARA,Ramanagara,Groundnut,4830.0,4917,1.8012422360248446,0.9104172686751727,0.08958273132482733,0.022157969197292106,20,TotalNPK
CHITRADURGA,Chitradurga,Groundnut,68575.0,70915,3.4123222748815163,0.8039348744851456,0.1960651255148544,0.036384747919338586,20,TotalNPK
DAVANAGERE,Davanagere,Groundnut,16592.0,17203,3.682497589199614,0.13420103715538778,0.8657989628446122,0.006543052031269253,20,TotalNPK
KOLAR,Kolar,Groundnut,5810.0,6430,10.671256454388985,0.8473421639149912,0.15265783608500882,0.1110206867582848,20,TotalNPK
CHIKKABALLAPURA,Chikkaballapura,Groundnut,7132.0,7603,6.604038137969715,0.8526883039378912,0.14731169606210875,0.07232922905081304,20,TotalNPK
SHIVAMOGGA,Shivamogga,Groundnut,248.0,257,3.6290322580645165,0.989850637935138,0.010149362064862022,0.05133221844657513,20,TotalNPK
TUMAKURU,Tumakuru,Groundnut,39626.0,41011,3.4951799323676376,0.8758168785597346,0.12418312144026548,0.04057411114301375,20,TotalNPK
CHIKKAMAGALURU,Chikkamagaluru,Groundnut,3909.0,4351,11.307239703248912,0.6862704775538471,0.31372952244615293,0.09458512277195616,20,TotalNPK
DAKSHINA KANNADA,Dakshina Kannada,Groundnut,0.0,0,,0.7768139167052976,0.22318608329470238,,20,TotalNPK
UDUPI,Udupi,Groundnut,3623.0,3688,1.7940932928512283,0.836690297090559,0.163309702909441,0.015076684267679271,20,TotalNPK
HASSAN,Hassan,Groundnut,521.0,543,4.222648752399232,0.3778925067997333,0.6221074932002667,0.021586910197229064,20,TotalNPK
KODAGU,Kodagu,Groundnut,45.0,52,15.555555555555555,0.7073830562027654,0.2926169437972346,0.13709518613935856,20,TotalNPK
MANDYA,Mandya,Groundnut,1021.0,1085,6.268364348677767,0.7451274917288429,0.2548725082711571,0.060990631576050953,20,TotalNPK
