District,KDG_District,Crop,Original Production,New Production,Impact,Stability,Stress,Perturbation,Factor
KOPPAL,Koppal,Rice,243505.0,242608,-0.3683702593375906,0.8268457725443427,0.17315422745565737,-10,TotalNPK
VIJAYANAGARA,Vijayanagara,Rice,206115.5,205054,-0.5150025107282082,0.6875950644669495,0.3124049355330505,-10,TotalNPK
BENGALURU,Bengaluru Urban,Maize,2879.0,2623,-8.891976380687739,0.959558803446218,0.04044119655378201,-10,TotalNPK
BENGALURU(R),Bengaluru Rural,Maize,42583.0,40811,-4.1612850198436,0.9841704468610378,0.01582955313896218,-10,TotalNPK
RAMANAGARA,Ramanagara,Maize,10450.0,10320,-1.244019138755981,0.8687863865741497,0.13121361342585025,-10,TotalNPK
CHITRADURGA,Chitradurga,Maize,271975.0,265613,-2.3391855869105616,0.5611114648059718,0.4388885351940282,-10,TotalNPK
DAVANAGERE,Davanagere,Maize,593544.0,578546,-2.5268556332807677,0.06893786962914483,0.9310621303708552,-10,TotalNPK
KOLAR,Kolar,Maize,1759.0,1630,-7.333712336554861,0.8804637680524671,0.11953623194753293,-10,TotalNPK
CHIKKABALLAPURA,Chikkaballapura,Maize,105491.0,100708,-4.534036078907206,0.8870654409575751,0.11293455904242486,-10,TotalNPK
SHIVAMOGGA,Shivamogga,Maize,226532.0,220447,-2.68615471544859,0.6296245169435384,0.3703754830564617,-10,TotalNPK
TUMAKURU,Tumakuru,Maize,66868.0,65265,-2.3972602739726026,0.867253808771465,0.1327461912285351,-10,TotalNPK
CHIKKAMAGALURU,Chikkamagaluru,Maize,61353.0,56593,-7.758381823219729,0.6936522126460193,0.3063477873539807,-10,TotalNPK
DAKSHINA KANNADA,Dakshina Kannada,Maize,0.0,0,,0.8265896106932351,0.17341038930676483,-10,TotalNPK
UDUPI,Udupi,Maize,109.0,107,-1.834862385321101,0.826356270443148,0.17364372955685206,-10,TotalNPK
HASSAN,Hassan,Maize,333937.0,323994,-2.977507733494641,0.522321907074198,0.477678092925802,-10,TotalNPK
KODAGU,Kodagu,Maize,17921.0,15867,-11.461413983594666,0.6535263328956876,0.3464736671043124,-10,TotalNPK
MANDYA,Mandya,Maize,19387.0,18541,-4.363748903904678,0.6675840994404665,0.3324159005595335,-10,TotalNPK
MYSURU,Mysuru,Maize,137154.0,133101,-2.95507240036747,0.5439202682090296,0.4560797317909704,-10,TotalNPK
CHAMARAJANAGAR,Chamarajanagara,Maize,147886.0,143632,-2.876540037596527,0.6423591042272802,0.35764089577271985,-10,TotalNPK
BELAGAVI,Belagavi,Maize,576758.0,548582,-4.885237829384248,0.2410638372586189,0.7589361627413811,-10,TotalNPK
VIJAYAPURA,Vijayapura,Maize,226327.0,220247,-2.686378558457453,0.6198268987915796,0.3801731012084204,-10,TotalNPK
BAGALKOT,Bagalkote,Maize,251699.0,238313,-5.318257124581345,0.624169226353253,0.37583077364674694,-10,TotalNPK
DHARAWAD,Dharwad,Maize,90634.0,86871,-4.151863539069224,0.6315590055200366,0.3684409944799634,-10,TotalNPK
GADAG,Gadag,Maize,138476.0,135213,-2.3563650018775815,0.6750454174343812,0.3249545825656189,-10,TotalNPK
HAVERI,Haveri,Maize,413487.0,400807,-3.0666018520533895,0.5761598474895394,0.4238401525104606,-10,TotalNPK
UTTARA KANNADA,Uttara Kannada,Maize,24088.0,23489,-2.486715376951179,0.6042423584192468,0.3957576415807532,-10,TotalNPK
BALLARI,Ballari,Maize,104045.0,99141,-4.713345187178625,0.7576732396130557,0.24232676038694434,-10,TotalNPK
BIDAR,Bidar,Maize,2791.0,2645,-5.231099964170548,0.9767287098096907,0.023271290190309244,-10,TotalNPK
KALABURAGI,Kalaburagi,Maize,14621.0,14206,-2.838383147527529,0.8271825070779545,0.17281749292204548,-10,TotalNPK
YADGIRI,Yadgir,Maize,2673.0,2457,-8.080808080808081,0.8248623680875727,0.1751376319124273,-10,TotalNPK
RAICHUR,Raichur,Maize,723.0,687,-4.979253112033195,0.229970943242491,0.770029056757509,-10,TotalNPK
KOPPAL,Koppal,Maize,190252.0,183835,-3.372894897294115,0.8268457725443427,0.17315422745565737,-10,TotalNPK
VIJAYANAGARA,Vijayanagara,Maize,104045.0,99141,-4.713345187178625,0.6875950644669495,0.3124049355330505,-10,TotalNPK
BENGALURU,Bengaluru Urban,Rice,3376.0,3441,1.925355450236967,0.9597278795778718,0.04027212042212823,20,TotalNPK
BENGALURU(R),Bengaluru Rural,Rice,2354.0,2375,0.8920985556499574,0.9836435565347359,0.016356443465264072,20,TotalNPK
RAMANAGARA,Ramanagara,Rice,12128.0,12160,0.2638522427440633,0.8682131077101054,0.13178689228989457,20,TotalNPK
CHITRADURGA,Chitradurga,Rice,4566.0,4589,0.5037231712658783,0.5663358199795283,0.4336641800204717,20,TotalNPK
DAVANAGERE,Davanagere,Rice,489505.0,492206,0.5517819021256167,0.08674073530467608,0.9132592646953239,20,TotalNPK
KOLAR,Kolar,Rice,864.0,877,1.5046296296296295,0.8758447445071207,0.12415525549287933,20,TotalNPK
