District,KDG_District,Original Maize Production Value,Perturbation,Factor,New Maize Production Values,Percentage Change,Change,Initial Stress,Initial Stability,Stress,Stability
SHIVAMOGGA,Shivamogga,226532,-10,TotalNPK,220447,-2.68615471544859,-6085,0.013504980254201882,0.9864950197457981,0.014758722729048379,0.9852412772709516
TUMAKURU,Tumakuru,66868,-10,TotalNPK,65265,-2.3972602739726026,-1603,0.09076231681463982,0.9092376831853601,0.08882489156313539,0.9111751084368647
CHIKKAMAGALURU,Chikkamagaluru,61353,-10,TotalNPK,56593,-7.758381823219729,-4760,0.2559670627379171,0.7440329372620829,0.2612018503529291,0.7387981496470709
DAKSHINA KANNADA,Dakshina Kannada,0,-10,TotalNPK,0,,0,0.17408987370776222,0.8259101262922378,0.1713610499424419,0.8286389500575582
UDUPI,Udupi,109,-10,TotalNPK,107,-1.834862385321101,-2,0.13121899977086787,0.8687810002291321,0.12967897107576581,0.8703210289242342
HASSAN,Hassan,333937,-10,TotalNPK,323994,-2.977507733494641,-9943,0.47762227119359874,0.5223777288064013,0.47665382988849053,0.5233461701115094
KODAGU,Kodagu,17921,-10,TotalNPK,15867,-11.461413983594666,-2054,0.23437071781255195,0.7656292821874481,0.23593283852969338,0.7640671614703066
MANDYA,Mandya,19387,-10,TotalNPK,18541,-4.363748903904678,-846,0.2019597536155702,0.7980402463844298,0.20174955837565206,0.7982504416243479
MYSURU,Mysuru,137154,-10,TotalNPK,133101,-2.95507240036747,-4053,0.012419045597293538,0.9875809544027064,0.013123416288419593,0.9868765837115804
CHAMARAJANAGAR,Chamarajanagara,147886,-10,TotalNPK,143632,-2.876540037596527,-4254,0.15537573176265507,0.8446242682373449,0.15494820924639816,0.8450517907536018
BELAGAVI,Belagavi,576758,-10,TotalNPK,548582,-4.885237829384248,-28176,0.7253265132829243,0.2746734867170757,0.704793395857892,0.295206604142108
VIJAYAPURA,Vijayapura,226327,-10,TotalNPK,220247,-2.686378558457453,-6080,0.09608756890811804,0.903912431091882,0.10266772218630843,0.8973322778136916
BAGALKOT,Bagalkote,251699,-10,TotalNPK,238313,-5.318257124581345,-13386,0.04244302023101909,0.9575569797689809,0.03560684889360566,0.9643931511063943
DHARAWAD,Dharwad,90634,-10,TotalNPK,86871,-4.151863539069224,-3763,0.33286201191487064,0.6671379880851294,0.3286717910071109,0.6713282089928891
GADAG,Gadag,138476,-10,TotalNPK,135213,-2.3563650018775815,-3263,0.18330281447421884,0.8166971855257812,0.17536548519910256,0.8246345148008974
HAVERI,Haveri,413487,-10,TotalNPK,400807,-3.0666018520533895,-12680,0.38823575000336963,0.6117642499966304,0.38589375039199253,0.6141062496080074
UTTARA KANNADA,Uttara Kannada,24088,-10,TotalNPK,23489,-2.486715376951179,-599,0.3999973043279016,0.6000026956720984,0.39387326159026254,0.6061267384097375
BALLARI,Ballari,104045,-10,TotalNPK,99141,-4.713345187178625,-4904,0.23687905674582324,0.7631209432541768,0.23948089570356423,0.7605191042964358
BIDAR,Bidar,2791,-10,TotalNPK,2645,-5.231099964170548,-146,0.019931125577884706,0.9800688744221153,0.019982853567391358,0.9800171464326086
KALABURAGI,Kalaburagi,14621,-10,TotalNPK,14206,-2.838383147527529,-415,0.1055400554409895,0.8944599445590105,0.10528174653931291,0.8947182534606871
YADGIRI,Yadgir,2673,-10,TotalNPK,2457,-8.080808080808081,-216,0.13121857857210248,0.8687814214278975,0.1312307059421377,0.8687692940578623
RAICHUR,Raichur,723,-10,TotalNPK,687,-4.979253112033195,-36,0.25992377987141646,0.7400762201285835,0.25600660967321526,0.7439933903267848
KOPPAL,Koppal,190252,-10,TotalNPK,183835,-3.372894897294115,-6417,0.11870122518296872,0.8812987748170313,0.11984526727347519,0.8801547327265248
VIJAYANAGARA,Vijayanagara,104045,-10,TotalNPK,99141,-4.713345187178625,-4904,0.3053716320946721,0.6946283679053279,0.307756859437279,0.692243140562721
BENGALURU,Bengaluru Urban,2879,-10,LivestockCensus_2012_Cattle,2730,-5.175408127822161,-149,0.03982434326688501,0.960175656733115,0.03880126879707232,0.9611987312029276
BENGALURU(R),Bengaluru Rural,42583,-10,LivestockCensus_2012_Cattle,41134,-3.4027663621633044,-1449,0.008581672125402659,0.9914183278745974,0.008585277672535509,0.9914147223274645
RAMANAGARA,Ramanagara,10450,-10,LivestockCensus_2012_Cattle,10002,-4.287081339712919,-448,0.07660864232474762,0.9233913576752524,0.07497319861567239,0.9250268013843276
CHITRADURGA,Chitradurga,271975,-10,LivestockCensus_2012_Cattle,267127,-1.7825167754389188,-4848,0.14489911447171566,0.8551008855282843,0.14203153643714028,0.8579684635628597
DAVANAGERE,Davanagere,593544,-10,LivestockCensus_2012_Cattle,588589,-0.8348159529874786,-4955,0.6682534628154498,0.33174653718455016,0.6715401862193596,0.3284598137806404
KOLAR,Kolar,1759,-10,LivestockCensus_2012_Cattle,1627,-7.504263786242182,-132,0.12177361745717251,0.8782263825428275,0.11829307037678242,0.8817069296232176
CHIKKABALLAPURA,Chikkaballapura,105491,-10,LivestockCensus_2012_Cattle,101372,-3.9045984965542084,-4119,0.11527536290485627,0.8847246370951437,0.11138615683722711,0.8886138431627729
SHIVAMOGGA,Shivamogga,226532,-10,LivestockCensus_2012_Cattle,220475,-2.673794430808892,-6057,0.013504980254201882,0.9864950197457981,0.008124854524974134,0.9918751454750259
