District,KDG_District,Original Rice Production,Original Maize Production,Initial Stress,Initial Stability,New Rice Production,New Maize Production,Rice Impact,Maize Impact,Stability,Stress,Perturbation,Factor
SHIVAMOGGA,Shivamogga,248.0,226532,0.1561227243994937,0.8438772756005063,257,238722,3.6290322580645165,5.381138205639821,0.989850637935138,0.010149362064862022,20,TotalNPK
TUMAKURU,Tumakuru,39626.0,66868,0.5220082780405303,0.4779917219594697,41011,70078,3.4951799323676376,4.800502482502841,0.8758168785597346,0.12418312144026548,20,TotalNPK
CHIKKAMAGALURU,Chikkamagaluru,3909.0,61353,0.42135969361440334,0.5786403063855967,4351,70887,11.307239703248912,15.53958241650775,0.6862704775538471,0.31372952244615293,20,TotalNPK
DAKSHINA KANNADA,Dakshina Kannada,0.0,0,0.2151214487551677,0.7848785512448323,0,0,,,0.7768139167052976,0.22318608329470238,20,TotalNPK
UDUPI,Udupi,3623.0,109,0.15792179097035264,0.8420782090296474,3688,111,1.7940932928512283,1.834862385321101,0.836690297090559,0.163309702909441,20,TotalNPK
HASSAN,Hassan,521.0,333937,0.6288742712797063,0.3711257287202937,543,353854,4.222648752399232,5.96429865513555,0.3778925067997333,0.6221074932002667,20,TotalNPK
KODAGU,Kodagu,45.0,17921,0.29203334046087925,0.7079666595391207,52,22034,15.555555555555555,22.950728195971205,0.7073830562027654,0.2926169437972346,20,TotalNPK
MANDYA,Mandya,1021.0,19387,0.31315939641082446,0.6868406035891755,1085,21080,6.268364348677767,8.732655903440449,0.7451274917288429,0.2548725082711571,20,TotalNPK
MYSURU,Mysuru,2170.0,137154,0.0,1.0,2263,145272,4.285714285714286,5.9188940898552,1.0,0.0,20,TotalNPK
CHAMARAJANAGAR,Chamarajanagara,8867.0,147886,0.2192791827846429,0.7807208172153571,9239,156407,4.195331002593887,5.761870630079927,0.8069276097090049,0.19307239029099507,20,TotalNPK
BELAGAVI,Belagavi,39530.0,576758,1.0,0.0,42347,633204,7.126233240576778,9.78677365550196,0.0,1.0,20,TotalNPK
VIJAYAPURA,Vijayapura,27528.0,226327,0.11571295413545596,0.884287045864544,28607,238507,3.919645451903517,5.38159388848878,0.9033909530619694,0.09660904693803062,20,TotalNPK
BAGALKOT,Bagalkote,25444.0,251699,0.10363008914481703,0.896369910855183,27418,278515,7.758214117277158,10.653995446942579,0.9406742835152748,0.05932571648472515,20,TotalNPK
DHARAWAD,Dharwad,21178.0,90634,0.423733485306093,0.576266514693907,22460,98171,6.05345169515535,8.315863803870512,0.5623697346011661,0.4376302653988339,20,TotalNPK
GADAG,Gadag,31332.0,138476,0.24678547519488023,0.7532145248051197,32409,145011,3.437380314055917,4.7192293249371735,0.7515445882034973,0.24845541179650266,20,TotalNPK
HAVERI,Haveri,18309.0,413487,0.49580995692661767,0.5041900430733823,19128,438889,4.4732098967720795,6.143361218127777,0.49340554187939134,0.5065944581206087,20,TotalNPK
UTTARA KANNADA,Uttara Kannada,3825.0,24088,0.565165684325954,0.43483431567404596,3963,25286,3.607843137254902,4.973430753902358,0.467687970951546,0.532312029048454,20,TotalNPK
BALLARI,Ballari,22938.5,104045,0.3286057076064117,0.6713942923935883,24516,113868,6.877084377792794,9.441107213225047,0.7062042535172999,0.29379574648270007,20,TotalNPK
BIDAR,Bidar,261.0,2791,0.042514974740847186,0.9574850252591528,280,3082,7.2796934865900385,10.426370476531709,0.987701669932987,0.01229833006701298,20,TotalNPK
KALABURAGI,Kalaburagi,3114.0,14621,0.33139030033229383,0.6686096996677062,3242,15451,4.110468850353243,5.676766295055058,0.8688105965981596,0.13118940340184038,20,TotalNPK
YADGIRI,Yadgir,31435.0,2673,0.2745340527415435,0.7254659472584565,35126,3103,11.741689199936376,16.086793864571643,0.8376952107424877,0.16230478925751232,20,TotalNPK
RAICHUR,Raichur,26958.0,723,0.3255497948401177,0.6744502051598823,28911,794,7.244602715334965,9.820193637621024,0.6599281211893526,0.3400718788106474,20,TotalNPK
KOPPAL,Koppal,29982.0,190252,0.1569925712713358,0.8430074287286642,31457,203107,4.919618437729304,6.75682778630448,0.8597472379025456,0.14025276209745444,20,TotalNPK
