District,KDG_District,Original Groundnut Production Value,Perturbation,Factor,New Groundnut Production Values,Percentage Change,Change,Initial Stress,Initial Stability,Stress,Stability
SHIVAMOGGA,Shivamogga,248.0,20,MotorVehicles_Tractors,254,2.4193548387096775,6.0,0.13129566168428727,0.8687043383157127,0.13005398243808935,0.8699460175619107
TUMAKURU,Tumakuru,39626.0,20,MotorVehicles_Tractors,41513,4.7620249331247155,1887.0,0.39828758918806306,0.6017124108119369,0.4050192995773624,0.5949807004226376
CHIKKAMAGALURU,Chikkamagaluru,3909.0,20,MotorVehicles_Tractors,4111,5.1675620363264265,202.0,0.21211811884797666,0.7878818811520234,0.21175371443874175,0.7882462855612582
DAKSHINA KANNADA,Dakshina Kannada,0.0,20,MotorVehicles_Tractors,0,,0.0,0.02952242070725483,0.9704775792927451,0.029616344134519162,0.9703836558654808
UDUPI,Udupi,3623.0,20,MotorVehicles_Tractors,3712,2.456527739442451,89.0,0.023733138899015675,0.9762668611009844,0.023171573947483405,0.9768284260525166
HASSAN,Hassan,521.0,20,MotorVehicles_Tractors,535,2.6871401151631478,14.0,0.10607607242678335,0.8939239275732167,0.10743632750285416,0.8925636724971459
KODAGU,Kodagu,45.0,20,MotorVehicles_Tractors,47,4.444444444444445,2.0,0.012424352898286549,0.9875756471017134,0.01232340601464902,0.987676593985351
MANDYA,Mandya,1021.0,20,MotorVehicles_Tractors,1045,2.3506366307541624,24.0,0.14847685016405396,0.851523149835946,0.14974700136717922,0.8502529986328208
MYSURU,Mysuru,2170.0,20,MotorVehicles_Tractors,2229,2.71889400921659,59.0,0.006467371491068172,0.9935326285089319,0.005954981747452397,0.9940450182525477
CHAMARAJANAGAR,Chamarajanagara,8867.0,20,MotorVehicles_Tractors,8979,1.2631104093831058,112.0,0.09031474055170738,0.9096852594482926,0.08725516450783896,0.912744835492161
BELAGAVI,Belagavi,39530.0,20,MotorVehicles_Tractors,40953,3.5997976220591954,1423.0,0.2576536638716733,0.7423463361283267,0.2531931387334565,0.7468068612665435
VIJAYAPURA,Vijayapura,27528.0,20,MotorVehicles_Tractors,28495,3.512786980528916,967.0,0.032545388261028096,0.967454611738972,0.033201313619642236,0.9667986863803577
BAGALKOT,Bagalkote,25444.0,20,MotorVehicles_Tractors,26543,4.319289419902531,1099.0,0.0819832300401021,0.9180167699598979,0.08178268897376989,0.9182173110262302
DHARAWAD,Dharwad,21178.0,20,MotorVehicles_Tractors,22138,4.533005949570309,960.0,0.030200510390083868,0.9697994896099161,0.0312442740560121,0.9687557259439878
GADAG,Gadag,31332.0,20,MotorVehicles_Tractors,33863,8.078003319290183,2531.0,0.08125410134888805,0.9187458986511119,0.10028934264652878,0.8997106573534712
HAVERI,Haveri,18309.0,20,MotorVehicles_Tractors,18696,2.113714566606587,387.0,0.0189802614447164,0.9810197385552836,0.0109736772691853,0.9890263227308147
UTTARA KANNADA,Uttara Kannada,3825.0,20,MotorVehicles_Tractors,3907,2.1437908496732025,82.0,0.18596573095151295,0.8140342690484871,0.18666365981197763,0.8133363401880224
BALLARI,Ballari,22938.5,20,MotorVehicles_Tractors,24140,5.237918782832356,1201.5,0.11273787823550857,0.8872621217644914,0.10885887851031834,0.8911411214896816
BIDAR,Bidar,261.0,20,MotorVehicles_Tractors,269,3.065134099616858,8.0,0.04160408312067079,0.9583959168793292,0.0411704181877123,0.9588295818122877
KALABURAGI,Kalaburagi,3114.0,20,MotorVehicles_Tractors,3190,2.440590879897238,76.0,0.24246931583424478,0.7575306841657552,0.2415443957396628,0.7584556042603372
YADGIRI,Yadgir,31435.0,20,MotorVehicles_Tractors,32218,2.4908541434706537,783.0,0.17841779074006564,0.8215822092599343,0.1746606717501304,0.8253393282498696
RAICHUR,Raichur,26958.0,20,MotorVehicles_Tractors,27793,3.097410787150382,835.0,0.007400656215822088,0.9925993437841779,0.008609000831583169,0.9913909991684169
KOPPAL,Koppal,29982.0,20,MotorVehicles_Tractors,30623,2.137949436328464,641.0,0.0592023332118119,0.9407976667881881,0.046895657444079475,0.9531043425559205
VIJAYANAGARA,Vijayanagara,22938.5,20,MotorVehicles_Tractors,24140,5.237918782832356,1201.5,0.12175841536031112,0.8782415846396889,0.11842074353878612,0.8815792564612139
BENGALURU,Bengaluru Urban,71.0,-20,TotalNPK,61,-14.084507042253522,-10.0,0.03568355814801312,0.9643164418519868,0.036333303137361474,0.9636666968626385
BENGALURU(R),Bengaluru Rural,206.0,-20,TotalNPK,193,-6.310679611650485,-13.0,0.16460517681370762,0.8353948231862924,0.1628378174351542,0.8371621825648459
RAMANAGARA,Ramanagara,4830.0,-20,TotalNPK,4742,-1.8219461697722568,-88.0,0.07478235508567264,0.9252176449143273,0.07317691819911225,0.9268230818008878
CHITRADURGA,Chitradurga,68575.0,-20,TotalNPK,66234,-3.4137805322639445,-2341.0,0.6908377688662048,0.30916223113379515,0.6968143249690492,0.30318567503095084
DAVANAGERE,Davanagere,16592.0,-20,TotalNPK,15980,-3.6885245901639343,-612.0,0.09081540891967432,0.9091845910803257,0.08622711396966315,0.9137728860303369
KOLAR,Kolar,5810.0,-20,TotalNPK,5189,-10.688468158347677,-621.0,0.031221290557783443,0.9687787094422166,0.026610200199293416,0.9733897998007066
CHIKKABALLAPURA,Chikkaballapura,7132.0,-20,TotalNPK,6660,-6.618059450364553,-472.0,0.11785636164783082,0.8821436383521691,0.11898219444192812,0.8810178055580719
SHIVAMOGGA,Shivamogga,248.0,-20,TotalNPK,238,-4.032258064516129,-10.0,0.13129566168428727,0.8687043383157127,0.12980644382039436,0.8701935561796057
TUMAKURU,Tumakuru,39626.0,-20,TotalNPK,38240,-3.4977035279866753,-1386.0,0.39828758918806306,0.6017124108119369,0.39886937653945537,0.6011306234605447
CHIKKAMAGALURU,Chikkamagaluru,3909.0,-20,TotalNPK,3466,-11.332821693527755,-443.0,0.21211811884797666,0.7878818811520234,0.21673158800616,0.78326841199384
DAKSHINA KANNADA,Dakshina Kannada,0.0,-20,TotalNPK,0,,0.0,0.02952242070725483,0.9704775792927451,0.02852764441223541,0.9714723555877646
UDUPI,Udupi,3623.0,-20,TotalNPK,3557,-1.8216947281258624,-66.0,0.023733138899015675,0.9762668611009844,0.025810006945073523,0.9741899930549265
HASSAN,Hassan,521.0,-20,TotalNPK,498,-4.414587332053743,-23.0,0.10607607242678335,0.8939239275732167,0.10514992300027176,0.8948500769997283
KODAGU,Kodagu,45.0,-20,TotalNPK,37,-17.77777777777778,-8.0,0.012424352898286549,0.9875756471017134,0.012395446447443911,0.987604553552556
MANDYA,Mandya,1021.0,-20,TotalNPK,956,-6.366307541625857,-65.0,0.14847685016405396,0.851523149835946,0.1487755533411843,0.8512244466588157
MYSURU,Mysuru,2170.0,-20,TotalNPK,2076,-4.331797235023042,-94.0,0.006467371491068172,0.9935326285089319,0.006344928586526563,0.9936550714134734
CHAMARAJANAGAR,Chamarajanagara,8867.0,-20,TotalNPK,8494,-4.206608774106237,-373.0,0.09031474055170738,0.9096852594482926,0.0891183782750048,0.9108816217249952
BELAGAVI,Belagavi,39530.0,-20,TotalNPK,36712,-7.128762964836833,-2818.0,0.2576536638716733,0.7423463361283267,0.2409880121991726,0.7590119878008275
VIJAYAPURA,Vijayapura,27528.0,-20,TotalNPK,26448,-3.9232781168265043,-1080.0,0.032545388261028096,0.967454611738972,0.04930096325150224,0.9506990367484978
BAGALKOT,Bagalkote,25444.0,-20,TotalNPK,23469,-7.762144316931301,-1975.0,0.0819832300401021,0.9180167699598979,0.08931666515686809,0.9106833348431319
DHARAWAD,Dharwad,21178.0,-20,TotalNPK,19895,-6.058173576352819,-1283.0,0.030200510390083868,0.9697994896099161,0.03231346438385113,0.9676865356161488
GADAG,Gadag,31332.0,-20,TotalNPK,30254,-3.4405719392314564,-1078.0,0.08125410134888805,0.9187458986511119,0.09271673158800625,0.9072832684119938
HAVERI,Haveri,18309.0,-20,TotalNPK,17489,-4.478671691517833,-820.0,0.0189802614447164,0.9810197385552836,0.020813652030247737,0.9791863479697522
UTTARA KANNADA,Uttara Kannada,3825.0,-20,TotalNPK,3686,-3.633986928104575,-139.0,0.18596573095151295,0.8140342690484871,0.17954826826101394,0.8204517317389861
BALLARI,Ballari,22938.5,-20,TotalNPK,21360,-6.8814438607581145,-1578.5,0.11273787823550857,0.8872621217644914,0.11928918682247791,0.8807108131775221
BIDAR,Bidar,261.0,-20,TotalNPK,241,-7.662835249042145,-20.0,0.04160408312067079,0.9583959168793292,0.04142887338829,0.95857112661171
KALABURAGI,Kalaburagi,3114.0,-20,TotalNPK,2985,-4.142581888246628,-129.0,0.24246931583424478,0.7575306841657552,0.22887036869281635,0.7711296313071836
YADGIRI,Yadgir,31435.0,-20,TotalNPK,27743,-11.744870367424845,-3692.0,0.17841779074006564,0.8215822092599343,0.14490040361949053,0.8550995963805095
RAICHUR,Raichur,26958.0,-20,TotalNPK,25004,-7.248312189331553,-1954.0,0.007400656215822088,0.9925993437841779,0.007567110547453015,0.9924328894525469
KOPPAL,Koppal,29982.0,-20,TotalNPK,28506,-4.922953772263358,-1476.0,0.0592023332118119,0.9407976667881881,0.06366216746685988,0.9363378325331402
VIJAYANAGARA,Vijayanagara,22938.5,-20,TotalNPK,21360,-6.8814438607581145,-1578.5,0.12175841536031112,0.8782415846396889,0.13000120783887426,0.8699987921611257
BENGALURU,Bengaluru Urban,71.0,-20,AreaUnderOilSeeds_GroundNut,66,-7.042253521126761,-5.0,0.03568355814801312,0.9643164418519868,0.037269244165795884,0.9627307558342041
BENGALURU(R),Bengaluru Rural,206.0,-20,AreaUnderOilSeeds_GroundNut,196,-4.854368932038835,-10.0,0.16460517681370762,0.8353948231862924,0.16179348342357747,0.8382065165764225
RAMANAGARA,Ramanagara,4830.0,-20,AreaUnderOilSeeds_GroundNut,4644,-3.8509316770186333,-186.0,0.07478235508567264,0.9252176449143273,0.07020360343244353,0.9297963965675564
CHITRADURGA,Chitradurga,68575.0,-20,AreaUnderOilSeeds_GroundNut,63162,-7.8935472110827565,-5413.0,0.6908377688662048,0.30916223113379515,0.6972135144548938,0.30278648554510623
DAVANAGERE,Davanagere,16592.0,-20,AreaUnderOilSeeds_GroundNut,15736,-5.1591128254580525,-856.0,0.09081540891967432,0.9091845910803257,0.07960746440370264,0.9203925355962974
KOLAR,Kolar,5810.0,-20,AreaUnderOilSeeds_GroundNut,5328,-8.296041308089501,-482.0,0.031221290557783443,0.9687787094422166,0.035005224660397086,0.9649947753396029
CHIKKABALLAPURA,Chikkaballapura,7132.0,-20,AreaUnderOilSeeds_GroundNut,6038,-15.339315759955133,-1094.0,0.11785636164783082,0.8821436383521691,0.12354474736919878,0.8764552526308013
SHIVAMOGGA,Shivamogga,248.0,-20,AreaUnderOilSeeds_GroundNut,223,-10.080645161290322,-25.0,0.13129566168428727,0.8687043383157127,0.1353693676577689,0.864630632342231
TUMAKURU,Tumakuru,39626.0,-20,AreaUnderOilSeeds_GroundNut,36000,-9.150557714631807,-3626.0,0.39828758918806306,0.6017124108119369,0.3912004053069884,0.6087995946930116
CHIKKAMAGALURU,Chikkamagaluru,3909.0,-20,AreaUnderOilSeeds_GroundNut,3581,-8.390892811460732,-328.0,0.21211811884797666,0.7878818811520234,0.21271153089334904,0.787288469106651
DAKSHINA KANNADA,Dakshina Kannada,0.0,-20,AreaUnderOilSeeds_GroundNut,0,,0.0,0.02952242070725483,0.9704775792927451,0.030140749184636332,0.9698592508153636
UDUPI,Udupi,3623.0,-20,AreaUnderOilSeeds_GroundNut,3521,-2.8153463980126965,-102.0,0.023733138899015675,0.9762668611009844,0.025984769323327314,0.9740152306766727
HASSAN,Hassan,521.0,-20,AreaUnderOilSeeds_GroundNut,472,-9.404990403071018,-49.0,0.10607607242678335,0.8939239275732167,0.10494178989476795,0.895058210105232
KODAGU,Kodagu,45.0,-20,AreaUnderOilSeeds_GroundNut,41,-8.88888888888889,-4.0,0.012424352898286549,0.9875756471017134,0.01258668186567873,0.9874133181343213
MANDYA,Mandya,1021.0,-20,AreaUnderOilSeeds_GroundNut,944,-7.541625857002939,-77.0,0.14847685016405396,0.851523149835946,0.14761090529115606,0.8523890947088439
MYSURU,Mysuru,2170.0,-20,AreaUnderOilSeeds_GroundNut,2036,-6.175115207373272,-134.0,0.006467371491068172,0.9935326285089319,0.005929197935467527,0.9940708020645325
CHAMARAJANAGAR,Chamarajanagara,8867.0,-20,AreaUnderOilSeeds_GroundNut,8185,-7.691440171422127,-682.0,0.09031474055170738,0.9096852594482926,0.08935224765945768,0.9106477523405423
BELAGAVI,Belagavi,39530.0,-20,AreaUnderOilSeeds_GroundNut,37435,-5.299772324816595,-2095.0,0.2576536638716733,0.7423463361283267,0.26968113739273614,0.7303188626072639
VIJAYAPURA,Vijayapura,27528.0,-20,AreaUnderOilSeeds_GroundNut,26141,-5.038506248183667,-1387.0,0.032545388261028096,0.967454611738972,0.038611823564801584,0.9613881764351984
