District,KDG_District,Original Groundnut Production Value,Perturbation,Factor,New Groundnut Production Values,Percentage Change,Change
KALABURAGI,Kalaburagi,3114.0,10,TotalNPK,3178,2.0552344251766215,64.0
YADGIRI,Yadgir,31435.0,10,TotalNPK,33280,5.869254016223954,1845.0
RAICHUR,Raichur,26958.0,10,TotalNPK,27934,3.620446620669189,976.0
KOPPAL,Koppal,29982.0,10,TotalNPK,30719,2.4581415515976253,737.0
VIJAYANAGARA,Vijayanagara,22938.5,10,TotalNPK,23727,3.4374523181550667,788.5
BENGALURU,Bengaluru Urban,71.0,10,AreaUnderOilSeeds_GroundNut,73,2.8169014084507045,2.0
BENGALURU(R),Bengaluru Rural,206.0,10,AreaUnderOilSeeds_GroundNut,210,1.9417475728155338,4.0
RAMANAGARA,Ramanagara,4830.0,10,AreaUnderOilSeeds_GroundNut,4922,1.9047619047619049,92.0
CHITRADURGA,Chitradurga,68575.0,10,AreaUnderOilSeeds_GroundNut,71281,3.9460444768501644,2706.0
DAVANAGERE,Davanagere,16592.0,10,AreaUnderOilSeeds_GroundNut,17019,2.5735294117647056,427.0
KOLAR,Kolar,5810.0,10,AreaUnderOilSeeds_GroundNut,6050,4.130808950086059,240.0
CHIKKABALLAPURA,Chikkaballapura,7132.0,10,AreaUnderOilSeeds_GroundNut,7678,7.655636567582726,546.0
SHIVAMOGGA,Shivamogga,248.0,10,AreaUnderOilSeeds_GroundNut,260,4.838709677419355,12.0
TUMAKURU,Tumakuru,39626.0,10,AreaUnderOilSeeds_GroundNut,41438,4.572755261696866,1812.0
CHIKKAMAGALURU,Chikkamagaluru,3909.0,10,AreaUnderOilSeeds_GroundNut,4072,4.169864415451522,163.0
DAKSHINA KANNADA,Dakshina Kannada,0.0,10,AreaUnderOilSeeds_GroundNut,0,,0.0
UDUPI,Udupi,3623.0,10,AreaUnderOilSeeds_GroundNut,3673,1.3800717637317141,50.0
HASSAN,Hassan,521.0,10,AreaUnderOilSeeds_GroundNut,545,4.606525911708253,24.0
KODAGU,Kodagu,45.0,10,AreaUnderOilSeeds_GroundNut,46,2.2222222222222223,1.0
MANDYA,Mandya,1021.0,10,AreaUnderOilSeeds_GroundNut,1059,3.721841332027424,38.0
MYSURU,Mysuru,2170.0,10,AreaUnderOilSeeds_GroundNut,2236,3.0414746543778803,66.0
CHAMARAJANAGAR,Chamarajanagara,8867.0,10,AreaUnderOilSeeds_GroundNut,9207,3.8344423141987147,340.0
BELAGAVI,Belagavi,39530.0,10,AreaUnderOilSeeds_GroundNut,40577,2.6486213002782697,1047.0
VIJAYAPURA,Vijayapura,27528.0,10,AreaUnderOilSeeds_GroundNut,28221,2.51743679163034,693.0
BAGALKOT,Bagalkote,25444.0,10,AreaUnderOilSeeds_GroundNut,26180,2.892626945448829,736.0
DHARAWAD,Dharwad,21178.0,10,AreaUnderOilSeeds_GroundNut,22189,4.773821890641231,1011.0
GADAG,Gadag,31332.0,10,AreaUnderOilSeeds_GroundNut,32484,3.6767522022213712,1152.0
HAVERI,Haveri,18309.0,10,AreaUnderOilSeeds_GroundNut,18806,2.7145119886394666,497.0
UTTARA KANNADA,Uttara Kannada,3825.0,10,AreaUnderOilSeeds_GroundNut,3879,1.411764705882353,54.0
BALLARI,Ballari,22938.5,10,AreaUnderOilSeeds_GroundNut,24331,6.070580029208536,1392.5
BIDAR,Bidar,261.0,10,AreaUnderOilSeeds_GroundNut,269,3.065134099616858,8.0
KALABURAGI,Kalaburagi,3114.0,10,AreaUnderOilSeeds_GroundNut,3220,3.4039820166987798,106.0
YADGIRI,Yadgir,31435.0,10,AreaUnderOilSeeds_GroundNut,32521,3.4547478924765387,1086.0
RAICHUR,Raichur,26958.0,10,AreaUnderOilSeeds_GroundNut,27964,3.7317308405668075,1006.0
KOPPAL,Koppal,29982.0,10,AreaUnderOilSeeds_GroundNut,30605,2.077913414715496,623.0
VIJAYANAGARA,Vijayanagara,22938.5,10,AreaUnderOilSeeds_GroundNut,24331,6.070580029208536,1392.5
BENGALURU,Bengaluru Urban,71.0,10,LivestockCensus_2012_Sheep,71,0.0,0.0
BENGALURU(R),Bengaluru Rural,206.0,10,LivestockCensus_2012_Sheep,207,0.48543689320388345,1.0
RAMANAGARA,Ramanagara,4830.0,10,LivestockCensus_2012_Sheep,4859,0.6004140786749482,29.0
CHITRADURGA,Chitradurga,68575.0,10,LivestockCensus_2012_Sheep,69590,1.4801312431644185,1015.0
DAVANAGERE,Davanagere,16592.0,10,LivestockCensus_2012_Sheep,16626,0.20491803278688525,34.0
KOLAR,Kolar,5810.0,10,LivestockCensus_2012_Sheep,6016,3.545611015490534,206.0
CHIKKABALLAPURA,Chikkaballapura,7132.0,10,LivestockCensus_2012_Sheep,7251,1.6685361749859788,119.0
SHIVAMOGGA,Shivamogga,248.0,10,LivestockCensus_2012_Sheep,248,0.0,0.0
TUMAKURU,Tumakuru,39626.0,10,LivestockCensus_2012_Sheep,40264,1.6100540049462475,638.0
CHIKKAMAGALURU,Chikkamagaluru,3909.0,10,LivestockCensus_2012_Sheep,3918,0.23023791250959325,9.0
DAKSHINA KANNADA,Dakshina Kannada,0.0,10,LivestockCensus_2012_Sheep,0,,0.0
UDUPI,Udupi,3623.0,10,LivestockCensus_2012_Sheep,3623,0.0,0.0
HASSAN,Hassan,521.0,10,LivestockCensus_2012_Sheep,521,0.0,0.0
KODAGU,Kodagu,45.0,10,LivestockCensus_2012_Sheep,45,0.0,0.0
MANDYA,Mandya,1021.0,10,LivestockCensus_2012_Sheep,1027,0.5876591576885406,6.0
MYSURU,Mysuru,2170.0,10,LivestockCensus_2012_Sheep,2175,0.2304147465437788,5.0
CHAMARAJANAGAR,Chamarajanagara,8867.0,10,LivestockCensus_2012_Sheep,8900,0.37216645990752223,33.0
BELAGAVI,Belagavi,39530.0,10,LivestockCensus_2012_Sheep,39734,0.5160637490513534,204.0
VIJAYAPURA,Vijayapura,27528.0,10,LivestockCensus_2012_Sheep,27629,0.3668991572217379,101.0
